field,source,inventory_id,unit_id,title,doi,pdf_url,error
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v66_i1_2,Bare and effective fluid description in brane world cosmology,10.1140/epjc/s10052-009-1226-5,https://link.springer.com/content/pdf/10.1140/epjc/s10052-009-1226-5.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v56_i4,From Euclidean to Minkowski space with the Cauchy–Riemann equations,10.1140/epjc/s10052-008-0676-5,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0676-5.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2012_v72_i5,Heavy quarkonia in a medium as a quantum dissipative system: master-equation approach,10.1140/epjc/s10052-012-2000-7,https://link.springer.com/content/pdf/10.1140/epjc/s10052-012-2000-7.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v42_i2,General formulation for proton decay rate in minimal supersymmetric SO(10) GUT,10.1140/epjc/s2005-02283-0,https://link.springer.com/content/pdf/10.1140/epjc/s2005-02283-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v65_i3_4,"Spontaneous breaking of chiral symmetry, and eventually of parity, in a σ-model with two Mexican hats",10.1140/epjc/s10052-009-1199-4,https://link.springer.com/content/pdf/10.1140/epjc/s10052-009-1199-4.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2012_v72_i5,Higgs boson production at hadron colliders: hard-collinear coefficients at the NNLO,10.1140/epjc/s10052-012-2013-2,https://link.springer.com/content/pdf/10.1140/epjc/s10052-012-2013-2.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2012_v72_i4,Spontaneous magnetization of the vacuum and the strength of the magnetic field in the hot Universe,10.1140/epjc/s10052-012-1968-3,https://link.springer.com/content/pdf/10.1140/epjc/s10052-012-1968-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2013_v73_i4,"Compactified rotating branes in the matrix model, and excitation spectrum towards one loop",10.1140/epjc/s10052-013-2414-x,https://link.springer.com/content/pdf/10.1140/epjc/s10052-013-2414-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2010_v69_i1_2,Determining the η−η′ mixing by the newly measured $\mathit{BR}(D(D_{s})\to\eta(\eta')+\bar{l}+\nu_{l}$,10.1140/epjc/s10052-010-1383-6,https://link.springer.com/content/pdf/10.1140/epjc/s10052-010-1383-6.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v42_i4,Associated production of a light Higgs boson and a chargino pair in the MSSM at linear colliders,10.1140/epjc/s2005-02337-3,https://link.springer.com/content/pdf/10.1140/epjc/s2005-02337-3.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2005_v39_i4,A search for the fourth SM family quarks at the Tevatron,10.1140/epjc/s2004-02110-2,https://link.springer.com/content/pdf/10.1140/epjc/s2004-02110-2.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2010_v68_i3_4,Small x resummation in collinear factorisation,10.1140/epjc/s10052-010-1363-x,https://link.springer.com/content/pdf/10.1140/epjc/s10052-010-1363-x.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2012_v72_i5,Observability of light charged Higgs decay to muon in top quark pair events at LHC,10.1140/epjc/s10052-012-1994-1,https://link.springer.com/content/pdf/10.1140/epjc/s10052-012-1994-1.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2010_v70_i4,"The rotating mass matrix, the strong CP problem and Higgs decay",10.1140/epjc/s10052-010-1506-0,https://link.springer.com/content/pdf/10.1140/epjc/s10052-010-1506-0.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v56_i4,Heavy-flavor tagging and the supersymmetry reach of the CERN Large Hadron Collider,10.1140/epjc/s10052-008-0672-9,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0672-9.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2009_v66_i1_2,Testing non-linear evolution with running coupling corrections in ep and pp collisions,10.1140/epjc/s10052-009-1225-6,https://link.springer.com/content/pdf/10.1140/epjc/s10052-009-1225-6.pdf,ValueError('download did not return PDF bytes')
"Structure-driven experimental physics (HEP, neutrino, gravitational waves)",The European Physical Journal C,epj_c_openalex_v1.0.1_through2025_20260620,epj_c_2008_v59_i2,The Higgs sector of supersymmetric theories and the implications for high-energy colliders,10.1140/epjc/s10052-008-0788-y,https://link.springer.com/content/pdf/10.1140/epjc/s10052-008-0788-y.pdf,ValueError('download did not return PDF bytes')
